contact_id,full_name,email,phone,company,updated_at
B-033,HUGO BERG,HUGO.BERG33@EXAMPLE.COM,+15555245338,Umbrella,2026-08-21
B-032,IVY CHAN,IVY.CHAN32@EXAMPLE.COM,+15558330060,Globex,2026-08-06
B-083,cleo okafor,CLEO.OKAFOR83@EXAMPLE.COM,(411) 662-6,Umbrella,2026-08-21
B-054,dan dubois,DAN.DUBOIS54@EXAMPLE.COM,(120) 155-3,Initech,2026-08-21
B-060,dan stone,DAN.STONE60@EXAMPLE.COM,873.937.3,Soylent,2026-08-02
B-013,lena reyes,LENA.REYES13@EXAMPLE.COM,+15552334840,Soylent,2026-08-26
B-089,Sam Berg,SAM.BERG89@EXAMPLE.COM,(780) 125-5,Globex,2026-08-15
B-086,MAX WEBER,MAX.WEBER86@EXAMPLE.COM,+15557991107,Umbrella,2026-08-10
B-053,ben okafor,BEN.OKAFOR53@EXAMPLE.COM,810.581.2,Initech,2026-08-25
B-069,Lea Cruz,LEA.CRUZ69@EXAMPLE.COM,796.103.3,Umbrella,2026-08-11
B-021,max stone,MAX.STONE21@EXAMPLE.COM,+15558460107,Acme GmbH,2026-08-11
B-036,Tara Patel,TARA.PATEL36@EXAMPLE.COM,+15557742977,Acme GmbH,2026-08-18
B-052,Ben Dubois,BEN.DUBOIS52@EXAMPLE.COM,412.439.9,Initech,2026-08-12
B-028,noah rossi,NOAH.ROSSI28@EXAMPLE.COM,+15555338130,Umbrella,2026-08-20
B-038,HUGO LARSEN,HUGO.LARSEN38@EXAMPLE.COM,(703) 421-8,Soylent,2026-08-22
B-007,Eli Berg,ELI.BERG7@EXAMPLE.COM,627.587.8,Acme GmbH,2026-08-03
B-075,Lena Chan,LENA.CHAN75@EXAMPLE.COM,167.710.8,Initech,2026-08-16
B-061,LIAM KIM,LIAM.KIM61@EXAMPLE.COM,+15552283021,Acme GmbH,2026-08-25
B-071,LIAM BERG,LIAM.BERG71@EXAMPLE.COM,(426) 249-1,Initech,2026-08-02
B-011,MAX REYES,MAX.REYES11@EXAMPLE.COM,436.293.0,Umbrella,2026-08-07
B-087,Nina Stone,NINA.STONE87@EXAMPLE.COM,(436) 533-5,Globex,2026-08-21
B-022,tara weber,TARA.WEBER22@EXAMPLE.COM,148.069.6,Globex,2026-08-22
B-029,ZOE CHAN,ZOE.CHAN29@EXAMPLE.COM,(860) 760-6,Initech,2026-08-08
B-067,Liam Rossi,LIAM.ROSSI67@EXAMPLE.COM,(890) 416-2,Soylent,2026-08-21
B-074,IVY KIM,IVY.KIM74@EXAMPLE.COM,+15555756254,Umbrella,2026-08-16
B-015,HUGO REYES,HUGO.REYES15@EXAMPLE.COM,(206) 751-2,Soylent,2026-08-25
B-076,LENA OKAFOR,LENA.OKAFOR76@EXAMPLE.COM,(725) 654-4,Umbrella,2026-08-03
B-055,Omar Weber,OMAR.WEBER55@EXAMPLE.COM,701.598.0,Soylent,2026-08-24
B-035,ZOE MOSS,ZOE.MOSS35@EXAMPLE.COM,+15554492428,Globex,2026-08-12
B-030,MIA PATEL,MIA.PATEL30@EXAMPLE.COM,489.969.8,Soylent,2026-08-03
